keyword,context1,context2,weight,phonetic,context1_translation,context2_translation,keyword_translation_1 / keyword_translation_2 / keyword_translation_3
collaborate,We need to collaborate with various stakeholders for success,Effective collaboration leads to better project outcomes,6,kəˈlæbəˌreɪt (collaborer),Pour atteindre nos objectifs nous devons collaborer efficacement,Une collaboration efficace donne de meilleurs résultats,collaborer / coopérer / partager
education,Education is a fundamental right for all children,Investing in education improves societal outcomes,8,ˌɛdʒʊˈkeɪʃən (éducation),L'éducation est un droit fondamental pour tous les enfants,Investir dans l'éducation améliore les résultats sociétaux,éducation / enseignement / formation
be mindful,Be mindful of cultural differences in negotiations,Mindfulness can lead to better decision-making,7,biː ˈmaɪndfəl (attentif),Soyez attentif aux différences culturelles dans les négociations,La pleine conscience peut mener à de meilleures décisions,attentif / prudent / réfléchi
seamlessly,The new system integrates seamlessly with existing processes,Seamless integration enhances operational efficiency,9,ˈsiːm.ləs.li (sans couture),Le nouveau système s'intègre parfaitement aux processus existants,Une intégration transparente améliore l'efficacité opérationnelle,sans couture / fluidement / intégralement
not set in stone,The plan is not set in stone and can be adjusted,Flexibility is key to adapting plans that are not set in stone,6,nɒt sɛt ɪn stoʊn (non gravé dans la pierre),Le plan n'est pas gravé dans la pierre et peut être ajusté,La flexibilité est essentielle pour adapter des plans qui ne sont pas gravés dans la pierre,non gravé dans la pierre / flexible / modifiable
at the end of the day,At the end of the day results matter more than processes,What matters at the end of the day is the impact on the community,7,æt ði ɛnd ʌv ðə deɪ (à la fin de la journée),À la fin de la journée les résultats comptent plus que les processus,Ce qui compte à la fin de la journée c'est l'impact sur la communauté,à la fin de la journée / finalement / ultimement
sequence,The sequence of events is crucial for accurate reporting,Establishing a proper sequence improves process efficiency,6,ˈsiːkwəns (séquence),La séquence des événements est cruciale pour un rapport précis,Établir une séquence correcte améliore l'efficacité du processus,séquence / ordre / chronologie
capture,We need to capture the data accurately for analysis,Capturing accurate information is vital for informed decisions,7,ˈkæp.tʃər (capturer),Nous devons capturer les données avec précision pour l'analyse,Capturer des informations précises est vital pour des décisions éclairées,capturer / prendre / obtenir
dictate the pace,The leader should dictate the pace of the project,Dictating the pace effectively is crucial for meeting deadlines,8,dɪkˌteɪt ðə peɪs (dictionner le rythme),Le leader doit dicter le rythme du projet,Dicter le rythme efficacement est crucial pour respecter les délais,dictionner le rythme / régir le rythme / imposer le rythme
shape,The policies will shape the future of the organization,Shaping strategies effectively is key to long-term success,7,ʃeɪp (façonner),Les politiques façonneront l'avenir de l'organisation,Façonner les stratégies efficacement est clé pour le succès à long terme,façonner / former / structurer
caveats,There are several caveats to the proposed changes,Understanding the caveats is important for proper implementation,6,ˈkæviˌæts (réserves),Il y a plusieurs réserves concernant les changements proposés,Comprendre les réserves est important pour une mise en œuvre correcte,réserves / objections / précautions
